user_id,event_date,category,device,event_type,order_value,returned
U100008,2025-12-30,Beauty,Mobile App,view,,
U100008,2025-09-15,Kids,Mobile App,view,,
U100008,2025-09-15,Kids,Mobile App,add_to_cart,,
U100008,2025-09-15,Kids,Mobile App,checkout,,
U100008,2025-09-15,Kids,Mobile App,purchase,1744.03,0.0
U100008,2025-11-14,Footwear,Mobile Web,view,,
U100008,2025-10-18,Footwear,Mobile Web,view,,
U100008,2025-10-18,Footwear,Mobile Web,add_to_cart,,
U100008,2025-10-18,Footwear,Mobile Web,checkout,,
U100008,2025-10-18,Footwear,Mobile Web,purchase,280.59,1.0
U100008,2025-08-28,Beauty,Mobile App,view,,
U100009,2025-12-25,Kids,Mobile App,view,,
U100010,2025-12-05,Kids,Mobile Web,view,,
U100010,2025-12-05,Kids,Mobile Web,add_to_cart,,
U100010,2025-12-05,Kids,Mobile Web,checkout,,
U100010,2025-12-02,Kids,Mobile App,view,,
U100010,2025-12-23,Accessories,Mobile App,view,,
U100010,2025-12-01,Footwear,Mobile App,view,,
U100010,2025-12-01,Footwear,Mobile App,add_to_cart,,
U100011,2025-10-19,Accessories,Mobile Web,view,,
U100012,2025-05-31,Western Wear,Mobile Web,view,,
U100012,2025-07-20,Western Wear,Mobile Web,view,,
U100012,2025-07-20,Western Wear,Mobile Web,add_to_cart,,
U100012,2025-07-20,Western Wear,Mobile Web,checkout,,
U100012,2025-07-20,Western Wear,Mobile Web,purchase,1647.72,0.0
U100012,2025-12-28,Ethnic Wear,Mobile App,view,,
U100012,2025-05-10,Ethnic Wear,Mobile App,view,,
U100012,2025-10-06,Kids,Mobile App,view,,
U100013,2025-12-28,Western Wear,Desktop,view,,
U100013,2025-12-30,Footwear,Mobile Web,view,,
U100014,2025-11-24,Footwear,Mobile App,view,,
U100014,2025-07-22,Footwear,Mobile App,view,,
U100014,2025-07-22,Footwear,Mobile App,add_to_cart,,
U100014,2025-11-07,Kids,Mobile App,view,,
U100014,2025-11-07,Kids,Mobile App,add_to_cart,,
U100014,2025-11-07,Kids,Mobile App,checkout,,
U100014,2025-11-07,Kids,Mobile App,purchase,1264.66,0.0
U100014,2025-11-01,Western Wear,Mobile App,view,,
U100014,2025-09-10,Ethnic Wear,Desktop,view,,
U100014,2025-09-02,Accessories,Mobile Web,view,,
U100015,2025-11-10,Beauty,Mobile App,view,,
U100015,2025-11-20,Footwear,Desktop,view,,
U100015,2025-11-20,Footwear,Desktop,add_to_cart,,
U100015,2025-08-12,Footwear,Mobile Web,view,,
U100015,2025-07-24,Western Wear,Mobile App,view,,
U100015,2025-07-24,Western Wear,Mobile App,add_to_cart,,
U100015,2025-07-24,Western Wear,Mobile App,checkout,,
U100015,2025-07-24,Western Wear,Mobile App,purchase,828.35,0.0
U100015,2025-11-15,Accessories,Mobile App,view,,
U100015,2025-06-27,Footwear,Mobile Web,view,,
U100015,2025-06-27,Footwear,Mobile Web,add_to_cart,,
U100015,2025-06-27,Footwear,Mobile Web,checkout,,
U100015,2025-06-27,Footwear,Mobile Web,purchase,1428.69,0.0
U100015,2025-07-07,Western Wear,Mobile App,view,,
U100015,2025-09-14,Beauty,Mobile App,view,,
U100015,2025-09-20,Beauty,Mobile Web,view,,
U100015,2025-09-20,Beauty,Mobile Web,add_to_cart,,
U100015,2025-08-16,Western Wear,Mobile App,view,,
U100015,2025-08-16,Western Wear,Mobile App,add_to_cart,,
U100015,2025-08-16,Western Wear,Mobile App,checkout,,
U100015,2025-12-06,Beauty,Mobile Web,view,,
U100016,2025-10-14,Footwear,Mobile App,view,,
U100016,2025-10-14,Footwear,Mobile App,add_to_cart,,
U100016,2025-12-13,Western Wear,Mobile App,view,,
U100017,2025-12-10,Accessories,Mobile App,view,,
U100017,2025-12-15,Kids,Mobile App,view,,
U100017,2025-12-15,Kids,Mobile App,add_to_cart,,
U100017,2025-12-15,Kids,Mobile App,checkout,,
U100017,2025-12-15,Kids,Mobile App,purchase,1952.96,0.0
U100017,2025-11-29,Accessories,Mobile App,view,,
U100017,2025-11-29,Accessories,Mobile App,add_to_cart,,
U100017,2025-12-23,Beauty,Mobile Web,view,,
U100017,2025-11-17,Kids,Desktop,view,,
U100018,2025-10-01,Kids,Mobile App,view,,
U100018,2025-12-07,Kids,Mobile App,view,,
U100018,2025-12-07,Kids,Mobile App,add_to_cart,,
U100018,2025-10-25,Ethnic Wear,Mobile App,view,,
U100018,2025-10-05,Footwear,Mobile App,view,,
U100018,2025-11-28,Accessories,Mobile Web,view,,
U100018,2025-11-28,Accessories,Mobile Web,add_to_cart,,
U100019,2025-12-11,Ethnic Wear,Mobile App,view,,
U100019,2025-12-11,Ethnic Wear,Mobile App,add_to_cart,,
U100019,2025-12-11,Ethnic Wear,Mobile App,checkout,,
U100019,2025-12-11,Ethnic Wear,Mobile App,purchase,1569.42,0.0
U100019,2025-12-19,Western Wear,Mobile App,view,,
U100019,2025-12-22,Footwear,Mobile Web,view,,
U100020,2025-11-15,Footwear,Desktop,view,,
U100020,2025-11-15,Footwear,Desktop,add_to_cart,,
U100021,2025-11-01,Western Wear,Mobile App,view,,
U100021,2025-11-01,Western Wear,Mobile App,add_to_cart,,
U100021,2025-11-01,Western Wear,Mobile App,checkout,,
U100021,2025-11-02,Kids,Mobile App,view,,
U100021,2025-11-02,Kids,Mobile App,add_to_cart,,
U100021,2025-08-24,Accessories,Mobile App,view,,
U100022,2025-10-19,Western Wear,Mobile App,view,,
U100022,2025-11-16,Beauty,Mobile App,view,,
U100023,2025-08-23,Accessories,Mobile App,view,,
U100023,2025-09-29,Kids,Mobile App,view,,
U100023,2025-09-29,Kids,Mobile App,add_to_cart,,
U100025,2025-06-10,Western Wear,Desktop,view,,
U100026,2025-10-12,Ethnic Wear,Mobile App,view,,
U100026,2025-10-12,Ethnic Wear,Mobile App,add_to_cart,,
U100026,2025-10-12,Ethnic Wear,Mobile App,checkout,,
U100026,2025-10-12,Ethnic Wear,Mobile App,purchase,1380.61,0.0
U100026,2025-12-21,Beauty,Mobile App,view,,
U100026,2025-12-21,Beauty,Mobile App,add_to_cart,,
U100026,2025-12-25,Western Wear,Mobile App,view,,
U100026,2025-12-25,Western Wear,Mobile App,add_to_cart,,
U100026,2025-12-25,Western Wear,Mobile App,checkout,,
U100026,2025-12-25,Western Wear,Mobile App,purchase,723.64,0.0
U100027,2025-09-27,Western Wear,Mobile App,view,,
U100028,2025-12-25,Kids,Mobile Web,view,,
U100028,2025-12-25,Kids,Mobile Web,add_to_cart,,
U100028,2025-12-24,Beauty,Mobile App,view,,
U100028,2025-12-14,Kids,Mobile App,view,,
U100028,2025-12-15,Western Wear,Mobile App,view,,
U100028,2025-12-14,Beauty,Mobile Web,view,,
U100029,2025-03-19,Ethnic Wear,Mobile App,view,,
U100029,2025-06-23,Beauty,Mobile App,view,,
U100029,2025-06-23,Beauty,Mobile App,add_to_cart,,
U100029,2025-06-23,Beauty,Mobile App,checkout,,
U100029,2025-09-19,Western Wear,Desktop,view,,
U100029,2025-03-07,Accessories,Desktop,view,,
U100029,2025-11-06,Ethnic Wear,Mobile Web,view,,
U100029,2025-04-13,Kids,Mobile Web,view,,
U100029,2025-10-20,Footwear,Mobile App,view,,
U100030,2025-08-27,Ethnic Wear,Desktop,view,,
U100030,2025-08-27,Ethnic Wear,Desktop,add_to_cart,,
U100030,2025-08-27,Ethnic Wear,Desktop,checkout,,
U100030,2025-08-27,Ethnic Wear,Desktop,purchase,934.85,0.0
U100030,2025-06-15,Footwear,Mobile App,view,,
U100031,2025-11-14,Ethnic Wear,Mobile App,view,,
U100031,2025-08-22,Ethnic Wear,Desktop,view,,
U100031,2025-08-22,Ethnic Wear,Desktop,add_to_cart,,
U100031,2025-08-22,Ethnic Wear,Desktop,checkout,,
U100031,2025-08-22,Ethnic Wear,Desktop,purchase,2453.83,0.0
U100031,2025-09-06,Accessories,Mobile Web,view,,
U100031,2025-08-07,Footwear,Mobile Web,view,,
U100031,2025-08-07,Footwear,Mobile Web,add_to_cart,,
U100031,2025-12-03,Footwear,Mobile App,view,,
U100031,2025-10-02,Footwear,Mobile App,view,,
U100031,2025-10-02,Footwear,Mobile App,add_to_cart,,
U100032,2025-07-07,Ethnic Wear,Mobile Web,view,,
U100032,2025-07-21,Accessories,Mobile App,view,,
U100032,2025-11-02,Kids,Mobile App,view,,
U100033,2025-12-23,Beauty,Mobile Web,view,,
U100033,2025-11-28,Kids,Desktop,view,,
U100033,2025-11-11,Footwear,Mobile App,view,,
U100034,2025-11-02,Kids,Mobile App,view,,
U100034,2025-08-20,Western Wear,Mobile App,view,,
U100034,2025-11-14,Ethnic Wear,Mobile App,view,,
U100034,2025-07-17,Beauty,Mobile Web,view,,
U100034,2025-07-17,Beauty,Mobile Web,add_to_cart,,
U100034,2025-07-17,Beauty,Mobile Web,checkout,,
U100034,2025-11-17,Beauty,Mobile App,view,,
U100034,2025-11-17,Beauty,Mobile App,add_to_cart,,
U100034,2025-11-17,Beauty,Mobile App,checkout,,
U100035,2025-10-21,Western Wear,Mobile App,view,,
U100035,2025-10-21,Western Wear,Mobile App,add_to_cart,,
U100035,2025-07-30,Western Wear,Mobile Web,view,,
U100035,2025-10-27,Ethnic Wear,Desktop,view,,
U100035,2025-10-27,Ethnic Wear,Desktop,add_to_cart,,
U100035,2025-12-20,Kids,Desktop,view,,
U100036,2025-07-05,Footwear,Mobile Web,view,,
U100036,2025-07-05,Footwear,Mobile Web,add_to_cart,,
U100036,2025-07-05,Footwear,Mobile Web,checkout,,
U100036,2025-07-05,Footwear,Mobile Web,purchase,1497.81,0.0
U100037,2025-12-31,Kids,Mobile App,view,,
U100037,2025-12-31,Kids,Mobile App,add_to_cart,,
U100037,2025-12-31,Kids,Mobile App,checkout,,
U100037,2025-12-31,Ethnic Wear,Mobile App,view,,
U100037,2025-12-31,Ethnic Wear,Mobile App,add_to_cart,,
U100037,2025-12-31,Ethnic Wear,Mobile App,checkout,,
U100037,2025-12-31,Ethnic Wear,Mobile App,view,,
U100037,2025-12-31,Ethnic Wear,Mobile Web,view,,
U100038,2025-11-30,Beauty,Mobile App,view,,
U100038,2025-11-14,Footwear,Mobile App,view,,
U100039,2025-11-06,Kids,Mobile Web,view,,
U100040,2025-12-24,Beauty,Mobile App,view,,
U100040,2025-12-08,Ethnic Wear,Mobile App,view,,
U100040,2025-12-08,Ethnic Wear,Mobile App,add_to_cart,,
U100041,2025-07-06,Accessories,Mobile App,view,,
U100041,2025-07-12,Beauty,Mobile Web,view,,
U100041,2025-07-12,Beauty,Mobile Web,add_to_cart,,
U100042,2025-11-27,Ethnic Wear,Mobile App,view,,
U100042,2025-12-22,Kids,Mobile App,view,,
U100042,2025-12-26,Kids,Mobile App,view,,
U100042,2025-11-04,Footwear,Mobile App,view,,
U100042,2025-11-04,Footwear,Mobile App,add_to_cart,,
U100042,2025-11-04,Footwear,Mobile App,checkout,,
U100042,2025-11-04,Footwear,Mobile App,purchase,1001.38,1.0
U100043,2025-10-04,Beauty,Mobile App,view,,
U100043,2025-10-07,Footwear,Desktop,view,,
U100043,2025-07-11,Kids,Mobile App,view,,
U100043,2025-09-26,Beauty,Mobile App,view,,
U100043,2025-12-06,Western Wear,Mobile App,view,,
U100044,2025-06-29,Ethnic Wear,Mobile App,view,,
U100044,2025-06-29,Ethnic Wear,Mobile App,add_to_cart,,
U100044,2025-06-29,Ethnic Wear,Mobile App,checkout,,
U100044,2025-07-06,Beauty,Mobile App,view,,
U100045,2025-12-19,Accessories,Mobile Web,view,,
U100045,2025-12-02,Western Wear,Mobile App,view,,
U100045,2025-12-17,Footwear,Mobile App,view,,
U100045,2025-12-11,Accessories,Mobile App,view,,
U100045,2025-12-11,Accessories,Mobile App,add_to_cart,,
U100046,2025-09-26,Footwear,Mobile Web,view,,
U100046,2025-06-18,Footwear,Mobile App,view,,
U100047,2025-12-11,Footwear,Mobile Web,view,,
U100047,2025-12-11,Footwear,Mobile Web,add_to_cart,,
U100047,2025-12-11,Footwear,Mobile Web,checkout,,
U100047,2025-12-11,Footwear,Mobile Web,purchase,1952.95,1.0
U100047,2025-12-07,Ethnic Wear,Mobile App,view,,
U100047,2025-12-07,Ethnic Wear,Mobile App,add_to_cart,,
U100047,2025-12-07,Ethnic Wear,Mobile App,checkout,,
U100047,2025-12-07,Ethnic Wear,Mobile App,purchase,2218.01,0.0
U100047,2025-10-02,Footwear,Mobile App,view,,
U100048,2025-09-21,Western Wear,Mobile App,view,,
U100048,2025-07-25,Beauty,Mobile Web,view,,
U100049,2025-12-24,Ethnic Wear,Mobile App,view,,
U100049,2025-12-24,Ethnic Wear,Mobile App,add_to_cart,,
U100049,2025-12-24,Ethnic Wear,Mobile App,checkout,,
U100049,2025-11-21,Footwear,Desktop,view,,
U100049,2025-11-21,Footwear,Desktop,add_to_cart,,
U100050,2025-05-09,Kids,Mobile App,view,,
U100050,2025-05-09,Kids,Mobile App,add_to_cart,,
U100051,2025-12-30,Kids,Desktop,view,,
U100051,2025-08-31,Beauty,Mobile Web,view,,
U100051,2025-10-05,Beauty,Mobile App,view,,
U100051,2025-10-05,Beauty,Mobile App,add_to_cart,,
U100051,2025-10-05,Beauty,Mobile App,checkout,,
U100052,2025-11-16,Footwear,Mobile App,view,,
U100052,2025-12-07,Footwear,Mobile App,view,,
U100052,2025-10-21,Western Wear,Desktop,view,,
U100052,2025-10-06,Accessories,Mobile Web,view,,
U100053,2025-12-13,Ethnic Wear,Mobile Web,view,,
U100053,2025-12-29,Kids,Mobile App,view,,
U100054,2025-10-25,Accessories,Mobile App,view,,
U100054,2025-07-07,Western Wear,Mobile App,view,,
U100054,2025-07-07,Western Wear,Mobile App,add_to_cart,,
U100054,2025-07-07,Western Wear,Mobile App,checkout,,
U100054,2025-07-07,Western Wear,Mobile App,purchase,1763.43,1.0
U100054,2025-10-19,Footwear,Desktop,view,,
U100054,2025-10-19,Footwear,Desktop,add_to_cart,,
U100054,2025-10-19,Footwear,Desktop,checkout,,
U100054,2025-10-19,Footwear,Desktop,purchase,2315.1,0.0
U100054,2025-03-18,Beauty,Desktop,view,,
U100055,2025-12-15,Accessories,Mobile App,view,,
U100055,2025-12-15,Accessories,Mobile App,add_to_cart,,
U100055,2025-12-15,Accessories,Mobile App,checkout,,
U100055,2025-12-27,Beauty,Mobile App,view,,
U100055,2025-12-31,Western Wear,Mobile Web,view,,
U100055,2025-12-31,Ethnic Wear,Mobile App,view,,
U100055,2025-12-31,Ethnic Wear,Mobile App,add_to_cart,,
U100055,2025-12-31,Ethnic Wear,Mobile App,checkout,,
U100055,2025-12-31,Ethnic Wear,Mobile App,purchase,983.56,1.0
U100056,2025-10-01,Footwear,Mobile App,view,,
U100056,2025-08-20,Beauty,Mobile App,view,,
U100056,2025-10-03,Accessories,Mobile Web,view,,
U100056,2025-05-18,Beauty,Desktop,view,,
U100056,2025-08-13,Beauty,Mobile Web,view,,
U100056,2025-08-13,Beauty,Mobile Web,add_to_cart,,
U100056,2025-08-13,Beauty,Mobile Web,checkout,,
U100056,2025-10-05,Kids,Mobile App,view,,
U100057,2025-11-30,Ethnic Wear,Desktop,view,,
U100057,2025-10-26,Beauty,Desktop,view,,
U100057,2025-10-15,Footwear,Mobile Web,view,,
U100058,2025-07-21,Accessories,Mobile App,view,,
U100058,2025-07-21,Accessories,Mobile App,add_to_cart,,
U100058,2025-07-21,Accessories,Mobile App,checkout,,
U100058,2025-11-02,Kids,Desktop,view,,
U100058,2025-11-02,Kids,Desktop,add_to_cart,,
U100059,2025-07-28,Ethnic Wear,Mobile App,view,,
U100060,2025-04-02,Beauty,Mobile App,view,,
U100061,2025-04-11,Beauty,Mobile App,view,,
U100061,2025-04-11,Beauty,Mobile App,add_to_cart,,
U100061,2025-06-08,Kids,Mobile App,view,,
U100061,2025-05-24,Beauty,Mobile Web,view,,
U100061,2025-05-24,Beauty,Mobile Web,add_to_cart,,
U100061,2025-05-24,Beauty,Mobile Web,checkout,,
U100061,2025-05-24,Beauty,Mobile Web,purchase,2875.84,0.0
U100061,2025-06-30,Kids,Mobile App,view,,
U100061,2025-05-04,Footwear,Mobile App,view,,
U100061,2025-05-04,Footwear,Mobile App,add_to_cart,,
U100061,2025-05-04,Footwear,Mobile App,checkout,,
U100061,2025-05-04,Footwear,Mobile App,purchase,557.9,0.0
U100061,2025-07-13,Western Wear,Mobile Web,view,,
U100061,2025-07-13,Western Wear,Mobile Web,add_to_cart,,
U100061,2025-07-13,Western Wear,Mobile Web,checkout,,
U100061,2025-10-26,Accessories,Mobile Web,view,,
U100062,2025-12-28,Beauty,Mobile App,view,,
U100062,2025-12-29,Beauty,Mobile App,view,,
U100062,2025-12-29,Beauty,Mobile App,add_to_cart,,
U100062,2025-12-28,Western Wear,Mobile App,view,,
U100063,2025-04-27,Beauty,Mobile App,view,,
U100063,2025-08-08,Beauty,Mobile App,view,,
U100063,2025-08-08,Beauty,Mobile App,add_to_cart,,
U100063,2025-05-24,Accessories,Mobile Web,view,,
U100064,2025-03-25,Western Wear,Desktop,view,,
U100064,2025-08-28,Beauty,Mobile App,view,,
U100064,2025-09-19,Footwear,Mobile App,view,,
U100065,2025-05-28,Kids,Mobile App,view,,
U100065,2025-06-28,Ethnic Wear,Mobile App,view,,
U100065,2025-11-12,Kids,Mobile Web,view,,
U100065,2025-11-12,Kids,Mobile Web,add_to_cart,,
U100065,2025-08-02,Western Wear,Desktop,view,,
U100066,2025-09-28,Footwear,Mobile App,view,,
U100066,2025-10-07,Kids,Mobile App,view,,
U100066,2025-11-14,Kids,Mobile Web,view,,
U100066,2025-11-14,Kids,Mobile Web,add_to_cart,,
U100066,2025-10-14,Footwear,Mobile Web,view,,
U100066,2025-10-14,Footwear,Mobile Web,add_to_cart,,
U100066,2025-11-14,Accessories,Mobile Web,view,,
U100067,2025-11-30,Kids,Desktop,view,,
U100067,2025-12-27,Western Wear,Mobile App,view,,
U100067,2025-11-10,Beauty,Mobile Web,view,,
U100068,2025-12-02,Footwear,Mobile App,view,,
U100068,2025-11-11,Accessories,Mobile Web,view,,
U100068,2025-10-23,Ethnic Wear,Mobile App,view,,
U100068,2025-09-11,Kids,Mobile App,view,,
U100068,2025-10-09,Footwear,Mobile Web,view,,
U100069,2025-10-11,Ethnic Wear,Mobile Web,view,,
U100069,2025-10-11,Ethnic Wear,Mobile Web,add_to_cart,,
U100069,2025-10-11,Ethnic Wear,Mobile Web,checkout,,
U100069,2025-10-11,Ethnic Wear,Mobile Web,purchase,1012.36,0.0
U100069,2025-10-06,Ethnic Wear,Mobile App,view,,
U100069,2025-09-18,Ethnic Wear,Mobile App,view,,
U100069,2025-09-18,Ethnic Wear,Mobile App,add_to_cart,,
U100069,2025-09-18,Ethnic Wear,Mobile App,checkout,,
U100069,2025-10-25,Ethnic Wear,Mobile App,view,,
U100069,2025-10-25,Ethnic Wear,Mobile App,add_to_cart,,
U100069,2025-10-25,Ethnic Wear,Mobile App,checkout,,
U100069,2025-11-11,Ethnic Wear,Mobile App,view,,
U100069,2025-11-11,Ethnic Wear,Mobile App,add_to_cart,,
U100069,2025-10-21,Kids,Mobile App,view,,
U100069,2025-10-21,Kids,Mobile App,add_to_cart,,
U100070,2025-03-02,Footwear,Mobile Web,view,,
U100070,2025-05-15,Accessories,Mobile App,view,,
U100071,2025-07-27,Western Wear,Mobile App,view,,
U100071,2025-11-27,Western Wear,Mobile App,view,,
U100071,2025-12-09,Accessories,Mobile App,view,,
U100071,2025-12-09,Accessories,Mobile App,add_to_cart,,
U100071,2025-12-09,Accessories,Mobile App,checkout,,
U100071,2025-12-09,Accessories,Mobile App,purchase,7613.21,0.0
U100071,2025-09-27,Kids,Mobile Web,view,,
U100071,2025-11-14,Beauty,Mobile App,view,,
U100071,2025-11-14,Beauty,Mobile App,add_to_cart,,
U100072,2025-07-30,Ethnic Wear,Desktop,view,,
U100072,2025-07-30,Ethnic Wear,Desktop,add_to_cart,,
U100072,2025-07-30,Ethnic Wear,Desktop,checkout,,
U100072,2025-07-30,Ethnic Wear,Desktop,purchase,2339.81,0.0
U100072,2025-11-03,Beauty,Mobile App,view,,
U100072,2025-08-09,Ethnic Wear,Mobile App,view,,
U100072,2025-08-27,Accessories,Mobile Web,view,,
U100072,2025-08-27,Accessories,Mobile Web,add_to_cart,,
U100072,2025-08-27,Accessories,Mobile Web,checkout,,
U100072,2025-08-27,Accessories,Mobile Web,purchase,4609.25,0.0
U100072,2025-09-22,Accessories,Mobile App,view,,
U100072,2025-09-26,Western Wear,Mobile Web,view,,
U100073,2025-12-28,Western Wear,Mobile Web,view,,
U100074,2025-12-17,Ethnic Wear,Desktop,view,,
U100074,2025-12-17,Ethnic Wear,Desktop,add_to_cart,,
U100074,2025-12-23,Ethnic Wear,Mobile Web,view,,
U100074,2025-12-23,Ethnic Wear,Mobile Web,add_to_cart,,
U100074,2025-12-23,Ethnic Wear,Mobile Web,checkout,,
U100074,2025-12-23,Ethnic Wear,Mobile Web,purchase,689.5,0.0
U100075,2025-12-31,Ethnic Wear,Desktop,view,,
U100075,2025-12-15,Kids,Mobile App,view,,
U100075,2025-12-15,Kids,Mobile App,add_to_cart,,
U100075,2025-12-15,Kids,Mobile App,checkout,,
U100075,2025-12-15,Kids,Mobile App,purchase,856.29,0.0
U100075,2025-12-29,Western Wear,Mobile App,view,,
U100075,2025-12-29,Western Wear,Mobile App,add_to_cart,,
U100075,2025-12-13,Accessories,Mobile App,view,,
U100075,2025-12-13,Kids,Desktop,view,,
U100075,2025-11-10,Beauty,Mobile Web,view,,
U100075,2025-11-10,Beauty,Mobile Web,add_to_cart,,
U100075,2025-11-10,Beauty,Mobile Web,checkout,,
U100076,2025-10-01,Ethnic Wear,Mobile App,view,,
U100076,2025-10-01,Ethnic Wear,Mobile App,add_to_cart,,
U100076,2025-10-01,Ethnic Wear,Mobile App,checkout,,
U100076,2025-12-25,Kids,Desktop,view,,
U100076,2025-10-09,Accessories,Mobile App,view,,
U100076,2025-12-15,Kids,Mobile Web,view,,
U100076,2025-12-15,Kids,Mobile Web,add_to_cart,,
U100076,2025-12-15,Kids,Mobile Web,checkout,,
U100076,2025-12-15,Kids,Mobile Web,purchase,1586.65,0.0
U100077,2025-10-30,Accessories,Mobile Web,view,,
U100078,2025-11-29,Kids,Mobile App,view,,
U100078,2025-12-11,Footwear,Mobile App,view,,
U100079,2025-12-09,Footwear,Desktop,view,,
U100079,2025-08-18,Beauty,Mobile App,view,,
U100080,2025-11-05,Beauty,Mobile Web,view,,
U100080,2025-11-05,Beauty,Mobile Web,add_to_cart,,
U100080,2025-11-05,Beauty,Mobile Web,checkout,,
U100080,2025-11-05,Beauty,Mobile Web,purchase,2638.31,1.0
U100080,2025-12-26,Beauty,Mobile Web,view,,
U100080,2025-12-06,Accessories,Mobile App,view,,
U100080,2025-10-31,Footwear,Mobile App,view,,
U100080,2025-10-31,Footwear,Mobile App,add_to_cart,,
U100080,2025-11-27,Beauty,Mobile App,view,,
U100080,2025-12-17,Ethnic Wear,Mobile Web,view,,
U100081,2025-09-15,Ethnic Wear,Mobile App,view,,
U100081,2025-12-20,Accessories,Mobile App,view,,
U100082,2025-07-28,Kids,Mobile App,view,,
U100082,2025-10-24,Accessories,Mobile App,view,,
U100083,2025-10-24,Western Wear,Mobile App,view,,
U100083,2025-12-27,Ethnic Wear,Mobile App,view,,
U100083,2025-12-27,Ethnic Wear,Mobile App,add_to_cart,,
U100083,2025-12-27,Ethnic Wear,Mobile App,checkout,,
U100083,2025-12-27,Ethnic Wear,Mobile App,purchase,2774.11,0.0
U100084,2025-12-14,Accessories,Mobile App,view,,
U100084,2025-12-14,Accessories,Mobile App,add_to_cart,,
U100084,2025-12-20,Kids,Mobile App,view,,
U100084,2025-12-20,Accessories,Mobile App,view,,
