user_id,signup_date,region,device_pref,acquisition_channel,signup_month
U100077,2025-08-03,North,Mobile App,Organic Search,2025-08
U100078,2025-09-09,West,Mobile App,Email/Push,2025-09
U100079,2025-07-09,North,Mobile Web,Organic Search,2025-07
U100080,2025-10-23,North,Mobile Web,Organic Search,2025-10
U100081,2025-08-01,West,Mobile App,Referral,2025-08
U100082,2025-07-27,West,Mobile App,Paid Social,2025-07
U100083,2025-08-25,South,Desktop,Paid Social,2025-08
U100084,2025-12-04,South,Mobile App,Email/Push,2025-12
U100085,2025-02-22,North,Mobile App,Paid Social,2025-02
U100086,2025-10-07,North,Mobile App,Paid Social,2025-10
U100087,2025-08-05,South,Mobile Web,Organic Search,2025-08
U100088,2025-09-09,North,Mobile Web,Influencer,2025-09
U100089,2025-07-07,South,Desktop,Influencer,2025-07
U100090,2025-02-10,West,Mobile App,Paid Social,2025-02
U100091,2025-06-06,West,Mobile App,Referral,2025-06
U100092,2025-01-15,North,Mobile App,Organic Search,2025-01
U100093,2025-10-28,East,Desktop,Organic Search,2025-10
U100094,2025-03-06,South,Mobile App,Referral,2025-03
U100095,2025-12-11,West,Mobile App,Paid Social,2025-12
U100096,2025-11-23,North,Mobile Web,Email/Push,2025-11
U100097,2025-01-09,North,Mobile App,Referral,2025-01
U100098,2025-12-10,North,Mobile App,Organic Search,2025-12
U100099,2025-05-09,South,Desktop,Organic Search,2025-05
U100100,2025-05-16,South,Mobile App,Paid Social,2025-05
U100101,2025-03-04,West,Mobile App,Referral,2025-03
U100102,2025-05-19,East,Mobile App,Paid Social,2025-05
U100103,2025-03-22,South,Mobile App,Organic Search,2025-03
U100104,2025-06-12,South,Mobile App,Referral,2025-06
U100105,2025-10-16,North,Mobile Web,Influencer,2025-10
U100106,2025-09-18,West,Mobile App,Paid Social,2025-09
U100107,2025-08-19,West,Desktop,Organic Search,2025-08
U100108,2025-02-10,West,Mobile App,Organic Search,2025-02
U100109,2025-01-28,West,Mobile App,Organic Search,2025-01
U100110,2025-05-15,North,Mobile App,Paid Social,2025-05
U100111,2025-07-20,North,Mobile Web,Referral,2025-07
U100112,2025-11-24,South,Mobile App,Paid Social,2025-11
U100113,2025-09-25,West,Mobile Web,Influencer,2025-09
U100114,2025-02-02,North,Mobile Web,Organic Search,2025-02
U100115,2025-02-17,North,Desktop,Influencer,2025-02
U100116,2025-03-03,West,Mobile Web,Paid Social,2025-03
U100117,2025-08-04,North,Mobile App,Influencer,2025-08
U100118,2025-10-20,South,Mobile Web,Paid Social,2025-10
U100119,2025-04-09,East,Desktop,Influencer,2025-04
U100120,2025-06-21,North,Desktop,Organic Search,2025-06
U100121,2025-12-26,North,Mobile App,Organic Search,2025-12
U100122,2025-08-02,East,Mobile App,Paid Social,2025-08
U100123,2025-02-04,East,Mobile App,Paid Social,2025-02
U100124,2025-08-15,West,Mobile App,Referral,2025-08
U100125,2025-04-11,South,Mobile Web,Organic Search,2025-04
U100126,2025-05-11,North,Desktop,Referral,2025-05
U100127,2025-09-14,East,Mobile App,Paid Social,2025-09
U100128,2025-01-05,South,Desktop,Paid Social,2025-01
U100129,2025-08-06,North,Mobile App,Influencer,2025-08
U100130,2025-09-12,West,Mobile App,Influencer,2025-09
U100131,2025-12-25,North,Mobile App,Paid Social,2025-12
U100132,2025-10-10,North,Mobile App,Referral,2025-10
U100133,2025-07-26,North,Desktop,Influencer,2025-07
U100134,2025-01-15,South,Mobile App,Influencer,2025-01
U100135,2025-12-12,South,Mobile App,Paid Social,2025-12
U100136,2025-02-11,South,Mobile App,Influencer,2025-02
U100137,2025-06-28,East,Mobile App,Organic Search,2025-06
U100138,2025-03-04,West,Desktop,Referral,2025-03
U100139,2025-12-18,North,Mobile App,Organic Search,2025-12
U100140,2025-08-19,North,Mobile App,Organic Search,2025-08
U100141,2025-08-29,North,Mobile Web,Referral,2025-08
U100142,2025-02-21,North,Mobile App,Organic Search,2025-02
U100143,2025-04-06,East,Mobile Web,Organic Search,2025-04
U100144,2025-08-10,East,Mobile App,Referral,2025-08
U100145,2025-08-19,West,Mobile App,Organic Search,2025-08
U100146,2025-08-25,North,Desktop,Paid Social,2025-08
U100147,2025-05-23,South,Mobile Web,Paid Social,2025-05
U100148,2025-06-20,South,Mobile App,Referral,2025-06
U100149,2025-01-29,North,Mobile Web,Influencer,2025-01
U100150,2025-02-05,East,Desktop,Influencer,2025-02
U100151,2025-01-13,West,Mobile App,Paid Social,2025-01
U100152,2025-06-09,South,Mobile App,Organic Search,2025-06
U100153,2025-11-23,East,Mobile App,Paid Social,2025-11
U100154,2025-07-06,South,Mobile App,Email/Push,2025-07
U100155,2025-08-31,North,Mobile App,Paid Social,2025-08
U100156,2025-03-27,South,Desktop,Organic Search,2025-03
U100157,2025-10-11,South,Mobile App,Referral,2025-10
U100158,2025-03-07,North,Mobile Web,Influencer,2025-03
U100159,2025-06-19,East,Mobile App,Paid Social,2025-06
U100160,2025-02-14,West,Mobile App,Paid Social,2025-02
U100161,2025-03-03,South,Mobile Web,Organic Search,2025-03
U100162,2025-05-14,South,Mobile App,Organic Search,2025-05
U100163,2025-10-11,West,Mobile App,Paid Social,2025-10
U100164,2025-01-28,West,Mobile App,Referral,2025-01
U100165,2025-04-18,East,Mobile Web,Organic Search,2025-04
U100166,2025-02-13,North,Mobile App,Influencer,2025-02
U100167,2025-12-06,West,Mobile App,Paid Social,2025-12
U100168,2025-10-13,North,Desktop,Paid Social,2025-10
U100169,2025-11-27,East,Desktop,Influencer,2025-11
U100170,2025-05-08,North,Mobile App,Referral,2025-05
U100171,2025-12-14,East,Mobile App,Influencer,2025-12
U100172,2025-08-19,North,Mobile Web,Influencer,2025-08
U100173,2025-07-09,South,Mobile Web,Paid Social,2025-07
U100174,2025-08-13,South,Mobile App,Paid Social,2025-08
U100175,2025-10-10,North,Mobile App,Paid Social,2025-10
U100176,2025-05-01,East,Mobile Web,Email/Push,2025-05
U100177,2025-04-26,West,Desktop,Organic Search,2025-04
U100178,2025-08-21,West,Mobile Web,Paid Social,2025-08
U100179,2025-09-16,North,Mobile App,Paid Social,2025-09
U100180,2025-12-25,East,Mobile App,Influencer,2025-12
U100181,2025-07-17,East,Mobile App,Influencer,2025-07
U100182,2025-05-17,South,Mobile App,Influencer,2025-05
U100183,2025-11-14,North,Mobile App,Organic Search,2025-11
U100184,2025-06-14,East,Mobile App,Referral,2025-06
U100185,2025-08-13,West,Mobile App,Paid Social,2025-08
U100186,2025-11-03,East,Mobile App,Paid Social,2025-11
U100187,2025-08-22,South,Mobile Web,Paid Social,2025-08
U100188,2025-06-21,South,Mobile Web,Paid Social,2025-06
U100189,2025-06-01,North,Desktop,Organic Search,2025-06
U100190,2025-11-11,East,Mobile Web,Influencer,2025-11
U100191,2025-06-09,East,Mobile App,Paid Social,2025-06
U100192,2025-04-06,North,Mobile App,Influencer,2025-04
U100193,2025-08-21,West,Mobile App,Organic Search,2025-08
U100194,2025-06-29,North,Mobile App,Organic Search,2025-06
U100195,2025-04-23,West,Desktop,Organic Search,2025-04
U100196,2025-11-14,South,Mobile App,Organic Search,2025-11
U100197,2025-02-21,North,Mobile App,Paid Social,2025-02
U100198,2025-09-25,South,Mobile App,Referral,2025-09
U100199,2025-10-22,South,Mobile App,Referral,2025-10
U100200,2025-04-23,North,Mobile Web,Influencer,2025-04
U100201,2025-04-11,South,Mobile App,Organic Search,2025-04
U100202,2025-04-23,South,Mobile App,Influencer,2025-04
U100203,2025-03-22,East,Mobile App,Referral,2025-03
U100204,2025-07-06,North,Desktop,Email/Push,2025-07
U100205,2025-04-23,South,Mobile App,Organic Search,2025-04
U100206,2025-01-02,North,Mobile App,Email/Push,2025-01
U100207,2025-05-10,East,Mobile App,Referral,2025-05
U100208,2025-08-08,North,Mobile App,Influencer,2025-08
U100209,2025-02-23,West,Mobile App,Paid Social,2025-02
U100210,2025-12-09,East,Mobile Web,Organic Search,2025-12
U100211,2025-08-12,South,Mobile Web,Organic Search,2025-08
U100212,2025-08-13,South,Mobile Web,Paid Social,2025-08
U100213,2025-05-06,North,Mobile App,Paid Social,2025-05
U100214,2025-05-10,South,Mobile App,Email/Push,2025-05
U100215,2025-02-22,West,Mobile App,Organic Search,2025-02
U100216,2025-06-21,West,Mobile App,Paid Social,2025-06
U100217,2025-08-06,North,Mobile App,Organic Search,2025-08
U100218,2025-06-09,South,Mobile App,Paid Social,2025-06
U100219,2025-07-17,East,Mobile Web,Organic Search,2025-07
U100220,2025-09-04,East,Mobile Web,Organic Search,2025-09
U100221,2025-11-20,North,Desktop,Organic Search,2025-11
U100222,2025-07-22,North,Mobile Web,Influencer,2025-07
U100223,2025-07-03,North,Mobile App,Paid Social,2025-07
U100224,2025-05-03,West,Mobile App,Influencer,2025-05
U100225,2025-09-12,South,Mobile App,Email/Push,2025-09
U100226,2025-10-21,South,Mobile App,Paid Social,2025-10
U100227,2025-10-07,West,Mobile App,Influencer,2025-10
U100228,2025-11-21,East,Mobile App,Organic Search,2025-11
U100229,2025-04-08,West,Mobile App,Organic Search,2025-04
U100230,2025-07-17,South,Mobile Web,Paid Social,2025-07
U100231,2025-08-28,North,Mobile Web,Organic Search,2025-08
U100232,2025-05-24,West,Mobile App,Email/Push,2025-05
U100233,2025-04-07,South,Mobile App,Paid Social,2025-04
U100234,2025-07-20,North,Mobile App,Paid Social,2025-07
U100235,2025-05-04,South,Mobile Web,Paid Social,2025-05
U100236,2025-07-06,North,Mobile App,Organic Search,2025-07
U100237,2025-11-22,South,Mobile Web,Email/Push,2025-11
U100238,2025-12-15,West,Mobile App,Organic Search,2025-12
U100239,2025-09-16,West,Mobile App,Paid Social,2025-09
U100240,2025-05-28,West,Mobile App,Organic Search,2025-05
U100241,2025-09-09,North,Mobile App,Organic Search,2025-09
U100242,2025-12-12,South,Mobile App,Paid Social,2025-12
U100243,2025-05-27,North,Mobile Web,Organic Search,2025-05
U100244,2025-05-28,West,Mobile App,Paid Social,2025-05
U100245,2025-12-18,South,Mobile App,Influencer,2025-12
U100246,2025-07-18,East,Desktop,Organic Search,2025-07
U100247,2025-11-04,East,Mobile App,Influencer,2025-11
U100248,2025-05-08,South,Mobile App,Email/Push,2025-05
U100249,2025-02-08,South,Mobile App,Email/Push,2025-02
U100250,2025-12-04,West,Mobile Web,Paid Social,2025-12
U100251,2025-12-26,West,Mobile Web,Email/Push,2025-12
U100252,2025-05-09,South,Mobile App,Influencer,2025-05
U100253,2025-09-24,South,Desktop,Influencer,2025-09
U100254,2025-05-31,West,Mobile Web,Paid Social,2025-05
U100255,2025-10-25,North,Mobile App,Paid Social,2025-10
U100256,2025-04-09,South,Mobile Web,Email/Push,2025-04
U100257,2025-09-20,North,Mobile App,Paid Social,2025-09
U100258,2025-09-09,South,Mobile Web,Paid Social,2025-09
U100259,2025-05-24,North,Mobile App,Organic Search,2025-05
U100260,2025-12-12,South,Mobile Web,Influencer,2025-12
U100261,2025-04-22,North,Mobile App,Organic Search,2025-04
U100262,2025-03-01,South,Desktop,Email/Push,2025-03
U100263,2025-01-02,West,Mobile App,Paid Social,2025-01
U100264,2025-10-31,West,Mobile App,Paid Social,2025-10
U100265,2025-09-11,West,Mobile App,Organic Search,2025-09
U100266,2025-05-20,East,Desktop,Organic Search,2025-05
U100267,2025-02-06,North,Mobile Web,Organic Search,2025-02
U100268,2025-06-09,North,Mobile App,Organic Search,2025-06
U100269,2025-01-09,West,Desktop,Paid Social,2025-01
U100270,2025-08-21,South,Mobile App,Paid Social,2025-08
U100271,2025-04-09,North,Mobile Web,Referral,2025-04
U100272,2025-05-27,East,Mobile Web,Organic Search,2025-05
U100273,2025-10-31,South,Mobile App,Paid Social,2025-10
U100274,2025-07-27,North,Desktop,Paid Social,2025-07
U100275,2025-05-11,West,Mobile App,Organic Search,2025-05
U100276,2025-06-01,West,Mobile App,Email/Push,2025-06
U100277,2025-02-23,South,Desktop,Organic Search,2025-02
U100278,2025-04-30,West,Mobile Web,Paid Social,2025-04
U100279,2025-06-10,East,Mobile App,Organic Search,2025-06
U100280,2025-04-26,East,Mobile App,Referral,2025-04
U100281,2025-03-16,North,Mobile Web,Organic Search,2025-03
U100282,2025-04-23,North,Mobile App,Paid Social,2025-04
U100283,2025-04-14,East,Desktop,Referral,2025-04
U100284,2025-12-06,West,Mobile Web,Referral,2025-12
U100285,2025-09-11,East,Mobile App,Paid Social,2025-09
U100286,2025-08-15,North,Mobile App,Paid Social,2025-08
U100287,2025-04-22,North,Mobile App,Organic Search,2025-04
U100288,2025-04-09,West,Mobile App,Referral,2025-04
U100289,2025-06-02,North,Mobile Web,Email/Push,2025-06
U100290,2025-12-15,South,Desktop,Organic Search,2025-12
U100291,2025-12-04,North,Mobile App,Influencer,2025-12
U100292,2025-07-13,North,Mobile App,Paid Social,2025-07
U100293,2025-11-06,East,Mobile App,Influencer,2025-11
U100294,2025-06-12,East,Mobile Web,Referral,2025-06
U100295,2025-07-27,South,Mobile Web,Referral,2025-07
U100296,2025-06-18,North,Mobile Web,Paid Social,2025-06
U100297,2025-06-10,West,Mobile App,Paid Social,2025-06
U100298,2025-03-09,North,Desktop,Referral,2025-03
U100299,2025-10-16,South,Mobile App,Paid Social,2025-10
U100300,2025-10-04,West,Mobile Web,Paid Social,2025-10
U100301,2025-10-31,North,Mobile Web,Paid Social,2025-10
U100302,2025-05-15,West,Mobile Web,Paid Social,2025-05
U100303,2025-07-14,North,Mobile App,Referral,2025-07
U100304,2025-05-08,South,Mobile App,Organic Search,2025-05
U100305,2025-02-02,South,Mobile App,Paid Social,2025-02
U100306,2025-06-25,West,Mobile Web,Organic Search,2025-06
U100307,2025-01-22,North,Mobile App,Influencer,2025-01
U100308,2025-08-26,South,Mobile App,Email/Push,2025-08
U100309,2025-06-07,West,Mobile App,Organic Search,2025-06
U100310,2025-02-07,South,Mobile Web,Organic Search,2025-02
U100311,2025-08-18,South,Mobile App,Paid Social,2025-08
U100312,2025-02-20,North,Mobile Web,Organic Search,2025-02
U100313,2025-09-21,East,Mobile Web,Referral,2025-09
U100314,2025-10-10,North,Mobile Web,Organic Search,2025-10
U100315,2025-01-27,North,Mobile App,Paid Social,2025-01
U100316,2025-08-14,South,Mobile Web,Organic Search,2025-08
U100317,2025-10-04,South,Mobile App,Email/Push,2025-10
U100318,2025-10-13,West,Mobile App,Influencer,2025-10
U100319,2025-04-07,West,Mobile App,Influencer,2025-04
U100320,2025-10-11,East,Mobile App,Paid Social,2025-10
U100321,2025-11-13,West,Mobile App,Paid Social,2025-11
U100322,2025-10-31,East,Mobile App,Influencer,2025-10
U100323,2025-05-27,North,Mobile App,Paid Social,2025-05
U100324,2025-01-04,East,Mobile App,Organic Search,2025-01
U100325,2025-02-04,North,Mobile App,Organic Search,2025-02
U100326,2025-07-11,South,Mobile App,Organic Search,2025-07
U100327,2025-02-18,West,Desktop,Organic Search,2025-02
U100328,2025-01-17,South,Mobile App,Influencer,2025-01
U100329,2025-06-21,West,Mobile App,Paid Social,2025-06
U100330,2025-08-08,North,Mobile App,Influencer,2025-08
U100331,2025-06-07,East,Mobile App,Influencer,2025-06
U100332,2025-02-15,North,Mobile App,Email/Push,2025-02
U100333,2025-01-06,East,Mobile App,Organic Search,2025-01
U100334,2025-04-09,East,Desktop,Organic Search,2025-04
U100335,2025-08-21,South,Mobile Web,Email/Push,2025-08
U100336,2025-02-06,North,Mobile Web,Organic Search,2025-02
U100337,2025-10-07,North,Desktop,Organic Search,2025-10
U100338,2025-12-15,North,Desktop,Paid Social,2025-12
U100339,2025-10-29,East,Mobile Web,Paid Social,2025-10
U100340,2025-06-30,West,Mobile Web,Organic Search,2025-06
U100341,2025-04-05,North,Mobile App,Referral,2025-04
U100342,2025-04-09,East,Mobile App,Referral,2025-04
U100343,2025-07-07,West,Mobile App,Paid Social,2025-07
U100344,2025-04-26,South,Mobile App,Influencer,2025-04
U100345,2025-07-10,East,Desktop,Organic Search,2025-07
U100346,2025-09-10,West,Mobile App,Organic Search,2025-09
U100347,2025-06-10,North,Mobile Web,Email/Push,2025-06
U100348,2025-09-13,South,Mobile App,Paid Social,2025-09
U100349,2025-11-19,North,Mobile App,Influencer,2025-11
U100350,2025-05-08,West,Mobile App,Organic Search,2025-05
U100351,2025-01-18,West,Mobile App,Referral,2025-01
U100352,2025-10-08,East,Mobile App,Organic Search,2025-10
U100353,2025-08-11,North,Mobile App,Paid Social,2025-08
U100354,2025-02-23,South,Mobile App,Organic Search,2025-02
U100355,2025-02-27,North,Mobile App,Organic Search,2025-02
U100356,2025-11-19,North,Mobile App,Paid Social,2025-11
U100357,2025-12-26,East,Mobile App,Influencer,2025-12
U100358,2025-06-23,West,Mobile App,Organic Search,2025-06
U100359,2025-10-07,West,Mobile App,Influencer,2025-10
U100360,2025-04-24,East,Mobile App,Organic Search,2025-04
U100361,2025-10-15,North,Mobile App,Organic Search,2025-10
U100362,2025-12-08,North,Mobile App,Email/Push,2025-12
U100363,2025-05-31,South,Mobile App,Email/Push,2025-05
U100364,2025-05-07,East,Desktop,Paid Social,2025-05
U100365,2025-06-04,West,Mobile App,Influencer,2025-06
U100366,2025-09-30,South,Mobile App,Organic Search,2025-09
U100367,2025-04-14,South,Mobile App,Paid Social,2025-04
U100368,2025-10-26,North,Mobile App,Organic Search,2025-10
U100369,2025-09-03,South,Mobile App,Email/Push,2025-09
U100370,2025-06-25,South,Mobile Web,Email/Push,2025-06
U100371,2025-02-08,North,Mobile Web,Paid Social,2025-02
U100372,2025-06-19,South,Mobile App,Influencer,2025-06
U100373,2025-09-04,West,Desktop,Influencer,2025-09
U100374,2025-01-26,South,Mobile App,Organic Search,2025-01
U100375,2025-12-21,North,Mobile Web,Referral,2025-12
U100376,2025-11-02,North,Mobile Web,Organic Search,2025-11
U100377,2025-01-13,South,Mobile Web,Paid Social,2025-01
U100378,2025-11-12,South,Mobile App,Influencer,2025-11
U100379,2025-11-09,South,Mobile App,Paid Social,2025-11
U100380,2025-02-05,South,Mobile App,Organic Search,2025-02
U100381,2025-06-22,South,Mobile App,Paid Social,2025-06
U100382,2025-01-20,West,Mobile App,Referral,2025-01
U100383,2025-11-17,South,Mobile App,Organic Search,2025-11
U100384,2025-09-21,West,Mobile App,Organic Search,2025-09
U100385,2025-05-22,South,Mobile Web,Organic Search,2025-05
U100386,2025-05-23,North,Mobile App,Paid Social,2025-05
U100387,2025-04-02,South,Mobile Web,Influencer,2025-04
U100388,2025-12-20,South,Mobile App,Organic Search,2025-12
U100389,2025-11-18,West,Desktop,Organic Search,2025-11
U100390,2025-10-15,East,Mobile App,Paid Social,2025-10
U100391,2025-08-03,West,Mobile App,Paid Social,2025-08
U100392,2025-12-08,West,Desktop,Email/Push,2025-12
U100393,2025-02-20,East,Mobile App,Organic Search,2025-02
U100394,2025-06-02,South,Mobile App,Referral,2025-06
U100395,2025-07-05,South,Mobile App,Paid Social,2025-07
U100396,2025-03-04,West,Mobile App,Referral,2025-03
U100397,2025-07-09,East,Mobile App,Email/Push,2025-07
U100398,2025-05-05,North,Mobile App,Paid Social,2025-05
U100399,2025-05-30,East,Desktop,Organic Search,2025-05
U100400,2025-11-10,North,Mobile App,Email/Push,2025-11
U100401,2025-02-27,South,Mobile App,Referral,2025-02
U100402,2025-12-08,North,Mobile Web,Paid Social,2025-12
U100403,2025-11-01,East,Mobile App,Organic Search,2025-11
U100404,2025-06-29,West,Mobile App,Paid Social,2025-06
U100405,2025-06-19,South,Mobile App,Influencer,2025-06
U100406,2025-11-22,North,Mobile Web,Referral,2025-11
U100407,2025-09-28,South,Mobile App,Email/Push,2025-09
U100408,2025-02-23,East,Mobile Web,Paid Social,2025-02
U100409,2025-04-11,South,Mobile App,Organic Search,2025-04
U100410,2025-09-21,North,Desktop,Paid Social,2025-09
U100411,2025-02-22,North,Mobile Web,Organic Search,2025-02
U100412,2025-03-01,South,Mobile App,Paid Social,2025-03
U100413,2025-04-18,North,Mobile Web,Paid Social,2025-04
U100414,2025-01-05,East,Mobile App,Influencer,2025-01
U100415,2025-04-13,North,Mobile App,Paid Social,2025-04
U100416,2025-07-15,East,Mobile App,Organic Search,2025-07
U100417,2025-09-19,North,Mobile App,Email/Push,2025-09
U100418,2025-12-16,South,Mobile Web,Email/Push,2025-12
U100419,2025-02-16,South,Mobile App,Paid Social,2025-02
U100420,2025-12-21,East,Mobile App,Email/Push,2025-12
U100421,2025-11-07,West,Mobile App,Paid Social,2025-11
U100422,2025-11-04,West,Mobile App,Organic Search,2025-11
U100423,2025-05-24,South,Mobile App,Influencer,2025-05
U100424,2025-09-26,South,Mobile Web,Influencer,2025-09
U100425,2025-05-04,West,Desktop,Influencer,2025-05
U100426,2025-04-16,East,Mobile App,Influencer,2025-04
U100427,2025-06-07,North,Mobile App,Paid Social,2025-06
U100428,2025-05-27,West,Mobile App,Organic Search,2025-05
U100429,2025-05-25,South,Mobile Web,Organic Search,2025-05
U100430,2025-04-30,North,Mobile App,Organic Search,2025-04
U100431,2025-11-15,South,Mobile App,Paid Social,2025-11
U100432,2025-10-02,North,Mobile Web,Paid Social,2025-10
U100433,2025-04-02,South,Mobile App,Influencer,2025-04
U100434,2025-02-27,North,Mobile App,Influencer,2025-02
U100435,2025-12-12,North,Mobile Web,Organic Search,2025-12
U100436,2025-08-17,North,Mobile App,Organic Search,2025-08
U100437,2025-04-27,South,Mobile App,Referral,2025-04
U100438,2025-11-14,East,Mobile App,Organic Search,2025-11
U100439,2025-10-06,South,Mobile App,Email/Push,2025-10
U100440,2025-05-07,North,Mobile App,Paid Social,2025-05
U100441,2025-05-09,North,Desktop,Organic Search,2025-05
U100442,2025-02-27,West,Mobile App,Influencer,2025-02
U100443,2025-05-02,South,Mobile Web,Influencer,2025-05
U100444,2025-01-01,South,Mobile App,Organic Search,2025-01
U100445,2025-08-27,North,Mobile App,Paid Social,2025-08
U100446,2025-10-17,East,Mobile App,Influencer,2025-10
U100447,2025-04-06,South,Mobile App,Organic Search,2025-04
U100448,2025-05-06,North,Mobile App,Influencer,2025-05
U100449,2025-04-28,North,Mobile App,Organic Search,2025-04
U100450,2025-02-17,South,Mobile App,Paid Social,2025-02
U100451,2025-03-30,West,Mobile App,Paid Social,2025-03
U100452,2025-08-25,West,Desktop,Organic Search,2025-08
U100453,2025-09-29,East,Mobile App,Paid Social,2025-09
U100454,2025-07-08,East,Mobile App,Paid Social,2025-07
U100455,2025-07-11,North,Mobile App,Organic Search,2025-07
U100456,2025-03-10,South,Mobile App,Organic Search,2025-03
U100457,2025-10-05,East,Mobile Web,Paid Social,2025-10
U100458,2025-12-15,North,Mobile App,Paid Social,2025-12
U100459,2025-09-04,West,Mobile App,Email/Push,2025-09
U100460,2025-03-17,North,Mobile App,Paid Social,2025-03
U100461,2025-06-03,South,Mobile Web,Organic Search,2025-06
U100462,2025-05-24,East,Mobile App,Paid Social,2025-05
U100463,2025-03-27,East,Mobile App,Influencer,2025-03
U100464,2025-07-04,East,Mobile App,Organic Search,2025-07
U100465,2025-10-12,North,Mobile App,Paid Social,2025-10
U100466,2025-08-08,West,Mobile App,Paid Social,2025-08
U100467,2025-03-10,South,Desktop,Referral,2025-03
U100468,2025-02-16,South,Mobile Web,Referral,2025-02
